X,Y,
1,16.0000,
2,-21.3069,
3,-0.9014,
4,99.3863,
5,-19.3906,
6,39.7918,
7,-88.0541,
8,70.0794,
9,1.1972,
10,-87.6974,
11,-27.6021,
12,0.4849,
13,0.5649,
14,-36.3609,
15,25.7081,
16,-50.2274,
17,-45.1668,
18,-32.1096,
19,-67.0556,
20,32.9957,
21,-51.9555,
22,91.0910,
23,96.1355,
24,95.1781,
25,-59.7811,
26,-76.7419,
27,33.2958,
28,0.3322,
29,-63.6327,
30,80.4012,
31,-24.5660,
32,-45.5343,
33,44.4965,
34,-56.4736,
35,97.5553,
36,17.5835,
37,-53.3891,
38,86.6376,
39,76.6636,
40,58.6889,
41,-91.2864,
42,-84.2623,
43,1.7612,
44,30.7842,
45,45.8067,
46,-93.1714,
47,12.8501,
48,-24.1288,
49,26.8918,
50,-5.0880,
51,-53.0682,
52,-93.0488,
53,-5.0297,
54,-42.0110,
55,-34.9927,
56,-42.9746,
57,99.0431,
58,45.0604,
59,70.0775,
60,-39.9057,
61,-17.8891,
62,-94.8729,
63,12.1431,
64,78.1589,
65,91.1744,
66,-5.8103,
67,23.2047,
68,-47.7805,
69,94.2341,
70,32.2485,
71,-12.7373,
72,51.2767,
73,17.2905,
74,4.3041,
75,28.3175,
76,-9.6693,
77,-3.6562,
78,-58.6433,
79,-36.6306,
80,-52.6180,
81,93.3944,
82,-43.5933,
83,-1.5812,
84,91.4308,
85,-49.5573,
86,38.4543,
87,-10.5341,
88,20.4773,
89,-8.5114,
90,28.4998,
91,-68.4891,
92,58.5218,
93,1.5326,
94,-15.4567,
95,-64.4461,
96,-77.4357,
97,-20.4253,
98,-78.4150,
99,68.5951,
100,-20.3948,
101,60.6151,
102,5.6250,
103,13.6347,
104,91.6444,
105,60.6540,
106,-1.3366,
107,39.6728,
108,4.6821,
109,-20.3087,
110,100.7005,
111,68.7095,
112,60.7185,
113,-13.2726,
114,-2.2638,
115,-23.2551,
116,-86.2464,
117,-6.2378,
118,24.7707,
119,18.7791,
120,74.7875,
121,78.7958,
122,102.8040,
123,53.8122,
124,89.8203,
125,-55.1717,
126,76.8363,
127,-15.1558,
128,-63.1480,
129,-45.1402,
130,-35.1325,
131,-2.1248,
132,35.8828,
133,64.8903,
134,-86.1022,
135,-57.0947,
136,40.9127,
137,-39.0800,
138,103.9273,
139,15.9345,
140,-51.0584,
141,-19.0512,
142,66.9558,
143,11.9628,
144,-50.0302,
145,76.9767,
146,99.9836,
147,-68.0096,
148,-73.0028,
149,1.0039,
150,-93.9894,
151,-0.9827,
152,54.0239,
153,-70.9696,
154,33.0370,
155,56.0434,
156,9.0499,
157,4.0562,
158,-72.9374,
159,67.0689,
160,-9.9248,
161,66.0814,
162,-53.9124,
163,-81.9062,
164,-80.9001,
165,-16.8941,
166,-1.8880,
167,20.1180,
168,-68.8760,
169,82.1299,
170,-52.8642,
171,94.1417,
172,4.1475,
173,89.1533,
174,6.1591,
175,86.1648,
176,-83.8295,
177,63.1761,
178,-25.8182,
179,-41.8126,
180,-93.8070,
181,-27.8015,
182,7.2040,
183,36.2095,
184,70.2149,
185,34.2204,
186,27.2257,
187,17.2311,
188,13.2364,
189,23.2417,
190,19.2470,
191,-28.7477,
192,40.2575,
193,-21.7373,
194,-81.7321,
195,-3.7270,
196,-52.7219,
197,36.2832,
198,22.2883,
199,-25.7067,
200,11.2983,
201,3.3033,
202,-67.6917,
203,-71.6868,
204,-19.6819,
205,-80.6770,
206,-33.6721,
207,62.3327,
208,-81.6625,
209,11.3423,
210,57.3471,
211,61.3519,
212,69.3566,
213,-74.6387,
214,52.3660,
215,-82.6294,
216,-65.6247,
217,20.3799,
218,45.3845,
219,-92.6109,
220,98.3936,
221,-76.6018,
222,-5.5973,
223,-80.5928,
224,-14.5884,
225,-63.5839,
226,17.4205,
227,-83.5750,
228,-88.5707,
229,-46.5663,
230,73.4381,
231,56.4424,
232,-11.5533,
233,-77.5490,
234,46.4553,
235,68.4596,
236,102.4638,
237,10.4681,
238,-85.5277,
239,-29.5235,
240,-91.5194,
241,0.4848,
242,-17.5111,
243,-38.5069,
244,71.4972,
245,-57.4987,
246,-74.4947,
247,45.5094,
248,-33.4866,
249,29.5175,
250,57.5215,
251,-66.4745,
252,85.5294,
253,39.5334,
254,-13.4627,
