X,Y,
1,-115.0000,
2,218.6931,
3,162.0986,
4,280.3863,
5,205.6094,
6,221.7918,
7,-258.0541,
8,-457.9206,
9,-31.8028,
10,-400.6974,
11,168.3979,
12,-349.5151,
13,-348.4351,
14,-285.3609,
15,231.7081,
16,417.7726,
17,418.8332,
18,191.8904,
19,294.9444,
20,-256.0043,
21,405.0445,
22,-418.9090,
23,147.1355,
24,347.1781,
25,341.2189,
26,-257.7419,
27,266.2958,
28,-303.6678,
29,-31.6327,
30,-25.5988,
31,-21.5660,
32,-319.5343,
33,60.4965,
34,451.5264,
35,166.5553,
36,-451.4165,
37,-262.3891,
38,135.6376,
39,-5.3364,
40,-174.3111,
41,502.7136,
42,131.7377,
43,495.7612,
44,-316.2158,
45,413.8067,
46,-257.1714,
47,-275.1499,
48,242.8712,
49,-201.1082,
50,-119.0880,
51,-431.0682,
52,112.9512,
53,-343.0297,
54,400.9890,
55,-433.9927,
56,326.0254,
57,-462.9569,
58,-183.9396,
59,18.0775,
60,-150.9057,
61,26.1109,
62,386.1271,
63,-217.8569,
64,-436.8411,
65,-226.8256,
66,110.1897,
67,-65.7953,
68,327.2195,
69,106.2341,
70,-192.7515,
71,-155.7373,
72,-485.7233,
73,-70.7095,
74,285.3041,
75,345.3175,
76,-410.6693,
77,271.3438,
78,-456.6433,
79,433.3694,
80,36.3820,
81,132.3944,
82,-161.5933,
83,-236.5812,
84,-99.5692,
85,110.4427,
86,-176.5457,
87,411.4659,
88,-288.5227,
89,80.4886,
90,115.4998,
91,316.5109,
92,201.5218,
93,-350.4674,
94,-178.4567,
95,-163.4461,
96,-335.4357,
97,85.5747,
98,68.5850,
99,-20.4049,
100,261.6052,
101,-160.3849,
102,230.6250,
103,266.6347,
104,-202.3556,
105,213.6540,
106,330.6634,
107,-466.3272,
108,257.6821,
109,106.6913,
110,-308.2995,
111,-341.2905,
112,468.7185,
113,-492.2726,
114,227.7362,
115,21.7449,
116,-490.2464,
117,-174.2378,
118,115.7707,
119,-177.2209,
120,311.7875,
121,-89.2042,
122,278.8040,
123,-15.1878,
124,455.8203,
125,480.8283,
126,264.8363,
127,-63.1558,
128,-440.1480,
129,-43.1402,
130,460.8675,
131,39.8752,
132,449.8828,
133,-185.1097,
134,195.8978,
135,-475.0947,
136,246.9127,
137,-145.0800,
138,311.9273,
139,23.9345,
140,44.9416,
141,0.9488,
142,464.9558,
143,-285.0372,
144,498.9698,
145,-328.0233,
146,-467.0164,
147,-331.0096,
148,-275.0028,
149,235.0039,
150,300.0106,
151,-54.9827,
152,-483.9761,
153,-34.9696,
154,-353.9630,
155,428.0434,
156,-337.9501,
157,-330.9438,
158,-343.9374,
159,-1.9311,
160,82.0752,
161,-419.9186,
162,69.0876,
163,76.0938,
164,3.0999,
165,60.1059,
166,53.1120,
167,-72.8820,
168,-451.8760,
169,-140.8701,
170,492.1358,
171,328.1417,
172,-314.8525,
173,476.1533,
174,358.1591,
175,-98.8352,
176,410.1705,
177,-226.8239,
178,61.1818,
179,-382.8126,
180,-426.8070,
181,243.1985,
182,414.2040,
183,400.2095,
184,-414.7851,
185,338.2204,
186,264.2257,
187,265.2311,
188,-431.7636,
189,318.2417,
190,505.2470,
191,-449.7477,
192,77.2575,
193,-323.7373,
194,275.2679,
195,66.2730,
196,419.2781,
197,-161.7168,
198,193.2883,
199,-164.7067,
200,161.2983,
201,-223.6967,
202,-410.6917,
203,-210.6868,
204,-236.6819,
205,343.3230,
206,-456.6721,
207,-32.6673,
208,258.3375,
209,-22.6577,
210,489.3471,
211,-369.6481,
212,-176.6434,
213,156.3613,
214,275.3660,
215,495.3706,
216,152.3753,
217,-88.6201,
218,481.3845,
219,-454.6109,
220,353.3936,
221,491.3982,
222,227.4027,
223,502.4072,
224,-16.5884,
225,8.4161,
226,351.4205,
227,93.4250,
228,85.4293,
229,387.4337,
230,-156.5619,
231,-341.5576,
232,432.4467,
233,49.4510,
234,-115.5447,
235,33.4596,
236,-325.5362,
237,-131.5319,
238,169.4723,
239,-97.5235,
240,-54.5194,
241,314.4848,
242,-124.5111,
243,-482.5069,
244,17.4972,
245,108.5013,
246,75.5053,
247,469.5094,
248,-323.4866,
249,363.5175,
250,315.5215,
251,197.5255,
252,274.5294,
253,-61.4666,
254,-363.4627,
255,-329.4587,
256,473.5452,
257,-373.4509,
258,105.5530,
259,325.5568,
260,464.5607,
261,24.5645,
262,-234.4317,
263,-418.4278,
264,-186.4241,
265,-100.4203,
266,181.5835,
267,72.5872,
268,409.5910,
269,265.5947,
270,294.5984,
271,-245.3979,
272,-431.3942,
273,15.6095,
274,-386.3869,
275,256.6168,
276,-243.3796,
277,-312.3760,
278,-321.3724,
279,464.6312,
280,-193.3652,
281,485.6384,
282,-306.3581,
283,302.6454,
284,-155.3510,
285,320.6525,
286,-315.3440,
287,-339.3405,
288,457.6630,
289,-116.3336,
290,-123.3301,
291,112.6733,
292,-388.3232,
293,432.6802,
294,-187.3164,
295,-6.3130,
296,-411.3096,
297,431.6937,
298,-131.3029,
299,141.7004,
300,346.7038,
301,454.7071,
302,-260.2896,
303,-5.2863,
304,463.7170,
305,157.7203,
306,57.7236,
307,-471.2732,
308,321.7301,
309,307.7333,
310,273.7366,
311,95.7398,
312,61.7430,
313,103.7462,
314,387.7494,
315,387.7526,
316,331.7557,
317,201.7589,
318,188.7621,
319,451.7652,
320,407.7683,
321,483.7714,
322,10.7746,
323,394.7777,
324,235.7807,
325,-70.2162,
326,-26.2131,
327,-308.2100,
328,-120.2070,
329,-408.2039,
330,-451.2009,
331,162.8021,
332,-365.1949,
333,312.8081,
334,-328.1889,
335,144.8141,
336,-181.1829,
337,193.8201,
338,152.8230,
339,327.8260,
340,123.8289,
341,461.8319,
342,103.8348,
343,-265.1623,
344,-327.1594,
345,-230.1565,
346,226.8464,
347,-478.1507,
348,366.8522,
349,-443.1449,
350,-480.1421,
351,-236.1392,
352,169.8636,
353,-246.1335,
354,311.8693,
355,-425.1279,
356,23.8749,
357,-382.1223,
358,-238.1195,
359,172.8833,
360,144.8861,
361,-116.1111,
362,438.8916,
363,-357.1056,
364,-251.1028,
365,0.8999,
366,-378.0974,
367,-424.0946,
368,-371.0919,
369,401.9108,
370,-89.0865,
371,276.9162,
372,-263.0811,
373,-131.0784,
374,-198.0757,
375,-5.0731,
376,-187.0704,
377,228.9322,
378,297.9349,
379,288.9375,
380,53.9402,
381,221.9428,
382,424.9454,
383,-0.0520,
384,-452.0494,
385,270.9532,
386,461.9558,
387,-126.0416,
388,98.9610,
389,-253.0364,
390,92.9661,
391,436.9687,
392,-40.0287,
393,247.9738,
394,100.9764,
395,-333.0211,
396,-369.0186,
397,-252.0161,
398,66.9865,
399,258.9890,
400,276.9915,
401,-180.0060,
402,-28.0035,
403,-112.0011,
404,317.0014,
405,54.0039,
406,243.0064,
407,22.0088,
408,357.0113,
409,-290.9863,
410,-195.9838,
411,479.0186,
412,-185.9790,
413,500.0234,
414,-182.9741,
415,118.0283,
416,-273.9693,
417,-381.9669,
418,377.0355,
419,241.0379,
420,461.0403,
421,97.0426,
422,28.0450,
423,-171.9526,
424,-237.9503,
425,372.0521,
426,361.0544,
427,79.0568,
428,86.0591,
429,-315.9385,
430,-47.9362,
431,-493.9339,
432,207.0684,
433,-26.9293,
434,378.0730,
435,-184.9247,
436,-442.9224,
437,358.0799,
438,-139.9178,
439,-397.9155,
440,-170.9132,
441,77.0890,
442,233.0913,
443,199.0936,
444,-310.9042,
445,64.0981,
446,63.1003,
447,-460.8974,
448,-31.8952,
449,-411.8930,
450,-372.8908,
451,246.1115,
452,9.1137,
453,132.1159,
454,-287.8819,
455,390.1203,
456,-211.8775,
457,38.1247,
458,-167.8731,
459,233.1291,
460,-103.8688,
461,126.1334,
462,-98.8644,
463,19.1377,
464,-41.8601,
465,-400.8580,
466,-329.8558,
467,-172.8537,
468,2.1485,
469,289.1506,
470,182.1527,
471,233.1549,
472,-455.8430,
473,-259.8409,
474,100.1612,
475,-205.8367,
476,-38.8346,
477,87.1675,
478,31.1696,
479,135.1717,
480,303.1738,
481,-178.8241,
482,260.1779,
483,494.1800,
484,385.1821,
485,240.1841,
486,-285.8138,
487,-73.8117,
488,368.1903,
489,120.1924,
490,-129.8056,
491,389.1964,
492,-161.8015,
493,327.2005,
494,213.2025,
495,-105.7954,
496,119.2066,
497,26.2086,
498,-406.7894,
499,402.2126,
500,107.2146,
501,173.2166,
502,-422.7814,
503,-12.7794,
504,-357.7774,
505,-282.7754,
506,138.2265,
507,73.2285,
508,-478.7695,
509,-60.7676,
510,248.2344,
511,-284.7636,
512,143.2383,
513,-266.7597,
514,53.2422,
515,69.2442,
516,346.2461,
517,-328.7520,
518,247.2500,
519,288.2519,
520,-358.7462,
521,79.2558,
522,-387.7423,
523,296.2596,
524,15.2615,
525,-40.7366,
526,-147.7347,
527,92.2672,
528,-226.7309,
529,317.2710,
530,-434.7271,
531,-437.7252,
532,29.2766,
533,-485.7215,
534,232.2804,
535,-330.7177,
536,-292.7159,
537,-465.7140,
538,-52.7121,
539,-461.7103,
540,-141.7084,
541,387.2934,
542,409.2953,
543,293.2971,
544,-461.7011,
545,252.3008,
546,-419.6974,
547,-406.6956,
548,-66.6937,
549,327.3081,
550,28.3099,
551,-22.6883,
552,-139.6865,
553,-206.6846,
554,412.3172,
555,113.3190,
556,82.3208,
557,-85.6774,
558,174.3244,
559,-357.6739,
560,356.3279,
561,297.3297,
562,155.3315,
563,190.3333,
564,101.3351,
565,-349.6632,
566,498.3386,
567,-308.6596,
568,491.3421,
569,-402.6561,
570,-482.6544,
571,-23.6526,
572,340.3491,
573,-118.6491,
574,341.3526,
575,-153.6456,
576,-393.6439,
577,172.3578,
578,-310.6404,
579,-75.6387,
580,487.3630,
581,-137.6352,
582,328.3665,
583,287.3682,
584,495.3699,
585,-108.6284,
586,-154.6267,
587,200.3750,
588,346.3767,
589,-472.6216,
590,462.3801,
591,-143.6182,
592,305.3835,
593,-197.6148,
594,481.3869,
595,337.3886,
596,203.3902,
597,371.3919,
598,-4.6064,
599,-149.6047,
600,239.3969,
601,315.3986,
602,-244.5997,
603,361.4019,
604,-113.5964,
605,107.4052,
606,-92.5931,
607,-308.5915,
608,81.4102,
609,-229.5882,
610,-48.5865,
611,148.4151,
612,311.4167,
613,-117.5816,
614,-267.5800,
615,-170.5784,
616,-74.5768,
617,-411.5751,
618,-195.5735,
619,-437.5719,
620,446.4297,
621,129.4313,
622,125.4329,
623,333.4345,
624,-116.5638,
625,357.4378,
626,-250.5606,
627,22.4409,
628,97.4425,
629,-344.5559,
630,331.4457,
631,496.4473,
632,349.4489,
633,-159.5495,
634,56.4520,
635,434.4536,
636,312.4552,
637,409.4568,
638,-326.5417,
639,145.4599,
640,-375.5385,
641,-38.5370,
642,-96.5354,
643,238.4661,
644,250.4677,
645,-334.5307,
646,-214.5292,
647,286.4723,
648,418.4739,
649,474.4754,
650,-467.5230,
651,98.4785,
652,45.4800,
653,318.4816,
654,-350.5169,
655,127.4846,
656,182.4862,
657,149.4877,
658,-492.5108,
659,504.4907,
660,-406.5078,
661,-391.5062,
662,-128.5047,
663,-62.5032,
664,-142.5017,
665,52.4998,
666,401.5013,
667,47.5028,
668,-160.4957,
669,-380.4942,
670,231.5073,
671,164.5088,
672,188.5103,
673,248.5117,
674,-43.4868,
675,-323.4853,
676,-77.4838,
677,-480.4823,
678,267.5191,
679,416.5206,
680,38.5221,
681,253.5236,
682,64.5250,
683,322.5265,
684,277.5280,
