X,Y,
1,8.2739,
2,8.2697,
3,8.2651,
4,8.2606,
5,8.2557,
6,8.2510,
7,8.2460,
8,8.2411,
9,8.2363,
10,8.2310,
11,8.2256,
12,8.2202,
13,8.2149,
14,8.2098,
15,8.2045,
16,8.1990,
17,8.1933,
18,8.1873,
19,8.1810,
20,8.1746,
21,8.1680,
22,8.1610,
23,8.1536,
24,8.1459,
25,8.1382,
26,8.1302,
27,8.1219,
28,8.1134,
29,8.1047,
30,8.0957,
31,8.0866,
32,8.0774,
33,8.0680,
34,8.0584,
35,8.0487,
36,8.0387,
37,8.0288,
38,8.0187,
39,8.0084,
40,7.9980,
41,7.9873,
42,7.9762,
43,7.9651,
44,7.9538,
45,7.9423,
46,7.9305,
47,7.9188,
48,7.9069,
49,7.8948,
50,7.8825,
51,7.8701,
52,7.8572,
53,7.8443,
54,7.8313,
55,7.8182,
56,7.8049,
57,7.7912,
58,7.7772,
59,7.7631,
60,7.7488,
61,7.7344,
62,7.7199,
63,7.7054,
64,7.6908,
65,7.6759,
66,7.6611,
67,7.6462,
68,7.6312,
69,7.6161,
70,7.6010,
71,7.5859,
72,7.5709,
73,7.5559,
74,7.5409,
75,7.5257,
76,7.5105,
77,7.4951,
78,7.4797,
79,7.4643,
80,7.4487,
81,7.4332,
82,7.4177,
83,7.4021,
84,7.3866,
85,7.3710,
86,7.3556,
87,7.3401,
88,7.3246,
89,7.3090,
90,7.2934,
91,7.2779,
92,7.2624,
93,7.2470,
94,7.2317,
95,7.2162,
96,7.2010,
97,7.1857,
98,7.1704,
99,7.1553,
100,7.1401,
101,7.1251,
102,7.1010,
103,7.0771,
104,7.0533,
105,7.0295,
106,7.0056,
107,6.9819,
108,6.9582,
109,6.9347,
110,6.9114,
111,6.8881,
112,6.8648,
113,6.8416,
114,6.8186,
115,6.7959,
116,6.7736,
117,6.7514,
118,6.7294,
119,6.7078,
120,6.6861,
121,6.6645,
122,6.6432,
123,6.6220,
124,6.6006,
125,6.5790,
126,6.5574,
127,6.5357,
128,6.5138,
129,6.4918,
130,6.4696,
131,6.4470,
132,6.4242,
133,6.4012,
134,6.3779,
135,6.3545,
136,6.3308,
137,6.3067,
138,6.2824,
139,6.2581,
140,6.2336,
141,6.2090,
142,6.1843,
143,6.1591,
144,6.1339,
145,6.1083,
146,6.0826,
147,6.0565,
148,6.0302,
149,6.0038,
150,5.9773,
151,5.9504,
152,5.9235,
153,5.8962,
154,5.8686,
155,5.8408,
156,5.8130,
157,5.7850,
158,5.7567,
159,5.7280,
160,5.6991,
161,5.6698,
162,5.6402,
163,5.6103,
164,5.5803,
165,5.5501,
166,5.5196,
167,5.4889,
168,5.4581,
169,5.4271,
170,5.3958,
171,5.3645,
172,5.3330,
173,5.3014,
174,5.2698,
175,5.2384,
176,5.2068,
177,5.1752,
178,5.1435,
179,5.1117,
180,5.0798,
181,5.0478,
182,5.0156,
183,4.9834,
184,4.9510,
185,4.9187,
186,4.8863,
187,4.8540,
188,4.8216,
189,4.7894,
190,4.7570,
191,4.7246,
192,4.6921,
193,4.6596,
194,4.6273,
195,4.5951,
196,4.5629,
197,4.5309,
198,4.4987,
199,4.4668,
200,4.4348,
201,4.4029,
202,4.3710,
203,4.3392,
204,4.3074,
205,4.2758,
206,4.2443,
207,4.2129,
208,4.1815,
209,4.1503,
210,4.1191,
211,4.0880,
212,4.0571,
213,4.0262,
214,3.9953,
215,3.9645,
216,3.9338,
217,3.9032,
218,3.8728,
219,3.8426,
220,3.8128,
221,3.7831,
222,3.7537,
223,3.7246,
224,3.6959,
225,3.6675,
226,3.6392,
227,3.6113,
228,3.5836,
229,3.5562,
230,3.5292,
231,3.5026,
232,3.4762,
233,3.4501,
234,3.4243,
235,3.3988,
236,3.3738,
237,3.3491,
238,3.3246,
239,3.3003,
240,3.2765,
241,3.2529,
242,3.2297,
243,3.2071,
244,3.1847,
245,3.1627,
246,3.1410,
247,3.1199,
248,3.0989,
249,3.0783,
250,3.0580,
251,3.0382,
252,3.0187,
253,2.9997,
254,2.9810,
255,2.9627,
256,2.9447,
257,2.9272,
258,2.9103,
259,2.8939,
260,2.8779,
261,2.8624,
262,2.8473,
263,2.8324,
264,2.8178,
265,2.8035,
266,2.7896,
267,2.7760,
268,2.7628,
269,2.7498,
270,2.7372,
271,2.7246,
272,2.7125,
273,2.7005,
274,2.6887,
275,2.6770,
276,2.6658,
277,2.6547,
278,2.6440,
279,2.6336,
280,2.6235,
281,2.6137,
282,2.6042,
283,2.5949,
284,2.5859,
285,2.5771,
286,2.5686,
287,2.5602,
288,2.5523,
289,2.5446,
290,2.5373,
291,2.5303,
292,2.5234,
293,2.5168,
294,2.5102,
295,2.5038,
296,2.4979,
297,2.4921,
298,2.4866,
299,2.4812,
300,2.4761,
301,2.4710,
302,2.4661,
303,2.4613,
304,2.4565,
305,2.4519,
306,2.4475,
307,2.4432,
308,2.4390,
309,2.4350,
310,2.4311,
311,2.4273,
312,2.4235,
313,2.4199,
314,2.4164,
315,2.4128,
316,2.4093,
317,2.4059,
318,2.4024,
319,2.3990,
320,2.3954,
321,2.3920,
322,2.3886,
323,2.3853,
324,2.3821,
325,2.3790,
326,2.3763,
327,2.3737,
328,2.3714,
329,2.3692,
330,2.3672,
331,2.3655,
332,2.3642,
333,2.3632,
334,2.3624,
335,2.3620,
336,2.3620,
337,2.3623,
338,2.3632,
339,2.3645,
340,2.3659,
341,2.3678,
342,2.3701,
343,2.3726,
344,2.3757,
345,2.3790,
346,2.3828,
347,2.3870,
348,2.3917,
349,2.3967,
350,2.4022,
351,2.4080,
352,2.4142,
353,2.4209,
354,2.4279,
355,2.4353,
356,2.4432,
357,2.4513,
358,2.4599,
359,2.4690,
360,2.4785,
361,2.4885,
362,2.4990,
363,2.5100,
364,2.5215,
365,2.5333,
366,2.5454,
367,2.5579,
368,2.5709,
369,2.5841,
370,2.5977,
371,2.6118,
372,2.6258,
373,2.6403,
374,2.6551,
375,2.6702,
376,2.6855,
377,2.7010,
378,2.7168,
379,2.7328,
380,2.7491,
381,2.7657,
382,2.7825,
383,2.7997,
384,2.8172,
385,2.8350,
386,2.8531,
387,2.8714,
388,2.8899,
389,2.9087,
390,2.9278,
391,2.9472,
392,2.9670,
393,2.9868,
394,3.0070,
395,3.0273,
396,3.0476,
397,3.0681,
398,3.0888,
399,3.1098,
400,3.1309,
401,3.1523,
402,3.1739,
403,3.1958,
404,3.2178,
405,3.2400,
406,3.2622,
407,3.2846,
408,3.3071,
409,3.3297,
410,3.3524,
411,3.3753,
412,3.3984,
413,3.4214,
414,3.4447,
415,3.4680,
416,3.4914,
417,3.5148,
418,3.5385,
419,3.5622,
420,3.5861,
421,3.6099,
422,3.6338,
423,3.6578,
424,3.6819,
425,3.7060,
426,3.7300,
427,3.7542,
428,3.7785,
429,3.8028,
430,3.8272,
431,3.8514,
432,3.8756,
433,3.8997,
434,3.9237,
435,3.9475,
436,3.9712,
437,3.9948,
438,4.0182,
439,4.0417,
440,4.0652,
441,4.0885,
442,4.1117,
443,4.1349,
444,4.1580,
445,4.1811,
446,4.2040,
447,4.2269,
448,4.2497,
449,4.2724,
450,4.2951,
451,4.3179,
452,4.3406,
453,4.3632,
454,4.3858,
455,4.4083,
456,4.4308,
457,4.4531,
458,4.4753,
459,4.4973,
460,4.5192,
461,4.5408,
462,4.5624,
463,4.5840,
464,4.6056,
465,4.6272,
466,4.6487,
467,4.6703,
468,4.6915,
469,4.7128,
470,4.7341,
471,4.7552,
472,4.7765,
473,4.7975,
474,4.8184,
475,4.8394,
476,4.8603,
477,4.8812,
478,4.9021,
479,4.9231,
480,4.9440,
481,4.9647,
482,4.9854,
483,5.0061,
484,5.0266,
485,5.0471,
486,5.0675,
487,5.0878,
488,5.1079,
489,5.1278,
490,5.1475,
491,5.1671,
492,5.1865,
493,5.2059,
494,5.2251,
495,5.2443,
496,5.2634,
497,5.2824,
498,5.3011,
499,5.3197,
500,5.3384,
501,5.3570,
502,5.3756,
503,5.3942,
504,5.4130,
505,5.4318,
506,5.4507,
507,5.4695,
508,5.4884,
509,5.5072,
510,5.5259,
511,5.5447,
512,5.5635,
513,5.5826,
514,5.6015,
515,5.6204,
516,5.6395,
517,5.6586,
518,5.6776,
519,5.6968,
520,5.7160,
521,5.7354,
522,5.7548,
523,5.7743,
524,5.7938,
525,5.8135,
526,5.8331,
527,5.8527,
528,5.8723,
529,5.8920,
530,5.9118,
531,5.9316,
532,5.9515,
533,5.9715,
534,5.9915,
535,6.0115,
536,6.0314,
537,6.0511,
538,6.0707,
539,6.0900,
540,6.1094,
541,6.1287,
542,6.1479,
543,6.1668,
544,6.1858,
545,6.2047,
546,6.2235,
547,6.2422,
548,6.2607,
549,6.2791,
550,6.2974,
551,6.3156,
552,6.3337,
553,6.3518,
554,6.3697,
555,6.3877,
556,6.4056,
557,6.4235,
558,6.4413,
559,6.4590,
560,6.4765,
561,6.4939,
562,6.5110,
563,6.5279,
564,6.5447,
565,6.5614,
566,6.5780,
567,6.5946,
568,6.6112,
569,6.6274,
570,6.6437,
571,6.6598,
572,6.6760,
573,6.6922,
574,6.7082,
575,6.7242,
576,6.7400,
577,6.7557,
578,6.7713,
579,6.7867,
580,6.8020,
581,6.8173,
582,6.8324,
583,6.8472,
584,6.8619,
585,6.8764,
586,6.8906,
587,6.9047,
588,6.9187,
589,6.9323,
590,6.9459,
591,6.9590,
592,6.9719,
593,6.9844,
594,6.9967,
595,7.0086,
596,7.0205,
597,7.0320,
598,7.0435,
599,7.0545,
600,7.0651,
601,7.0756,
602,7.0857,
603,7.0955,
604,7.1050,
605,7.1142,
606,7.1232,
607,7.1320,
608,7.1408,
609,7.1493,
610,7.1577,
611,7.1658,
612,7.1736,
613,7.1812,
614,7.1889,
615,7.1963,
616,7.2034,
617,7.2105,
618,7.2173,
619,7.2237,
620,7.2300,
621,7.2360,
622,7.2417,
623,7.2472,
624,7.2525,
625,7.2575,
626,7.2622,
627,7.2668,
628,7.2711,
629,7.2752,
630,7.2790,
631,7.2828,
632,7.2863,
633,7.2896,
634,7.2929,
635,7.2962,
636,7.2996,
637,7.3029,
638,7.3061,
639,7.3092,
640,7.3120,
641,7.3148,
642,7.3174,
643,7.3200,
644,7.3224,
645,7.3246,
646,7.3267,
647,7.3287,
648,7.3305,
649,7.3322,
650,7.3336,
651,7.3349,
652,7.3360,
653,7.3367,
654,7.3373,
655,7.3375,
656,7.3375,
657,7.3373,
658,7.3370,
659,7.3365,
660,7.3359,
661,7.3351,
662,7.3343,
663,7.3331,
664,7.3318,
665,7.3301,
666,7.3281,
667,7.3261,
668,7.3239,
669,7.3217,
670,7.3192,
671,7.3166,
672,7.3139,
673,7.3112,
674,7.3085,
675,7.3057,
676,7.3027,
677,7.2997,
678,7.2967,
679,7.2935,
680,7.2902,
681,7.2867,
682,7.2833,
683,7.2797,
684,7.2760,
685,7.2723,
686,7.2686,
687,7.2647,
688,7.2608,
689,7.2570,
690,7.2531,
691,7.2494,
692,7.2457,
693,7.2421,
694,7.2385,
695,7.2349,
696,7.2311,
697,7.2273,
698,7.2234,
699,7.2195,
700,7.2155,
701,7.2113,
702,7.2070,
703,7.2025,
704,7.1978,
705,7.1929,
706,7.1879,
707,7.1826,
708,7.1771,
709,7.1714,
710,7.1657,
711,7.1600,
712,7.1540,
713,7.1478,
714,7.1413,
715,7.1348,
716,7.1281,
717,7.1211,
718,7.1141,
719,7.1068,
720,7.0993,
721,7.0915,
722,7.0834,
723,7.0751,
724,7.0664,
725,7.0576,
726,7.0485,
727,7.0390,
728,7.0293,
729,7.0193,
730,7.0090,
731,6.9984,
732,6.9876,
733,6.9765,
734,6.9650,
735,6.9532,
736,6.9411,
737,6.9289,
738,6.9166,
